Date;State;PET_Phase
2020-07-08;State of Rio de Janeiro;Trough
2020-07-09;State of Rio de Janeiro;Trough
2020-07-10;State of Rio de Janeiro;Trough
2020-07-11;State of Rio de Janeiro;Trough
2020-07-12;State of Rio de Janeiro;Trough
2020-07-13;State of Rio de Janeiro;Trough
2020-07-14;State of Rio de Janeiro;Trough
2020-07-15;State of Rio de Janeiro;Trough
2020-07-16;State of Rio de Janeiro;Trough
2020-07-17;State of Rio de Janeiro;Trough
2020-07-18;State of Rio de Janeiro;Trough
2020-07-19;State of Rio de Janeiro;Trough
2020-07-20;State of Rio de Janeiro;Trough
2020-07-21;State of Rio de Janeiro;Trough
2020-07-22;State of Rio de Janeiro;Trough
2020-07-23;State of Rio de Janeiro;Trough
2020-07-24;State of Rio de Janeiro;Trough
2020-07-25;State of Rio de Janeiro;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of São Paulo;Preparation
2020-02-26;State of São Paulo;Preparation
2020-02-27;State of São Paulo;Preparation
2020-02-28;State of São Paulo;Preparation
2020-02-29;State of São Paulo;Preparation
2020-03-01;State of São Paulo;Preparation
2020-03-02;State of São Paulo;Preparation
2020-03-03;State of São Paulo;Preparation
2020-03-04;State of São Paulo;Preparation
2020-03-05;State of São Paulo;Preparation
2020-03-06;State of São Paulo;Preparation
2020-03-07;State of São Paulo;Preparation
2020-03-08;State of São Paulo;Preparation
2020-03-09;State of São Paulo;Preparation
2020-03-10;State of São Paulo;Preparation
2020-03-11;State of São Paulo;Preparation
2020-03-12;State of São Paulo;Preparation
2020-03-13;State of São Paulo;Preparation
2020-03-14;State of São Paulo;Preparation
2020-03-15;State of São Paulo;Preparation
2020-03-16;State of São Paulo;Preparation
2020-03-17;State of São Paulo;Preparation
2020-03-18;State of São Paulo;Preparation
2020-03-19;State of São Paulo;Preparation
2020-03-20;State of São Paulo;Response
2020-03-21;State of São Paulo;Response
2020-03-22;State of São Paulo;Response
2020-03-23;State of São Paulo;Response
2020-03-24;State of São Paulo;Response
2020-03-25;State of São Paulo;Response
2020-03-26;State of São Paulo;Response
2020-03-27;State of São Paulo;Response
2020-03-28;State of São Paulo;Response
2020-03-29;State of São Paulo;Response
2020-03-30;State of São Paulo;Trough
2020-03-31;State of São Paulo;Trough
2020-04-01;State of São Paulo;Trough
2020-04-02;State of São Paulo;Trough
2020-04-03;State of São Paulo;Trough
2020-04-04;State of São Paulo;Trough
2020-04-05;State of São Paulo;Trough
2020-04-06;State of São Paulo;Trough
2020-04-07;State of São Paulo;Trough
2020-04-08;State of São Paulo;Trough
2020-04-09;State of São Paulo;Trough
2020-04-10;State of São Paulo;Trough
2020-04-11;State of São Paulo;Trough
2020-04-12;State of São Paulo;Trough
2020-04-13;State of São Paulo;Trough
2020-04-14;State of São Paulo;Trough
2020-04-15;State of São Paulo;Trough
2020-04-16;State of São Paulo;Trough
2020-04-17;State of São Paulo;Trough
2020-04-18;State of São Paulo;Trough
2020-04-19;State of São Paulo;Trough
2020-04-20;State of São Paulo;Trough
2020-04-21;State of São Paulo;Trough
2020-04-22;State of São Paulo;Trough
2020-04-23;State of São Paulo;Trough
2020-04-24;State of São Paulo;Trough
2020-04-25;State of São Paulo;Trough
2020-04-26;State of São Paulo;Trough
2020-04-27;State of São Paulo;Trough
2020-04-28;State of São Paulo;Trough
2020-04-29;State of São Paulo;Trough
2020-04-30;State of São Paulo;Trough
2020-05-01;State of São Paulo;Trough
2020-05-02;State of São Paulo;Trough
2020-05-03;State of São Paulo;Trough
2020-05-04;State of São Paulo;Trough
2020-05-05;State of São Paulo;Trough
2020-05-06;State of São Paulo;Trough
2020-05-07;State of São Paulo;Trough
2020-05-08;State of São Paulo;Trough
2020-05-09;State of São Paulo;Trough
2020-05-10;State of São Paulo;Trough
2020-05-11;State of São Paulo;Trough
2020-05-12;State of São Paulo;Trough
2020-05-13;State of São Paulo;Trough
2020-05-14;State of São Paulo;Trough
2020-05-15;State of São Paulo;Trough
2020-05-16;State of São Paulo;Trough
2020-05-17;State of São Paulo;Trough
2020-05-18;State of São Paulo;Trough
2020-05-19;State of São Paulo;Trough
2020-05-20;State of São Paulo;Trough
2020-05-21;State of São Paulo;Trough
2020-05-22;State of São Paulo;Trough
2020-05-23;State of São Paulo;Trough
2020-05-24;State of São Paulo;Trough
2020-05-25;State of São Paulo;Trough
2020-05-26;State of São Paulo;Trough
2020-05-27;State of São Paulo;Trough
2020-05-28;State of São Paulo;Trough
2020-05-29;State of São Paulo;Trough
2020-05-30;State of São Paulo;Trough
2020-05-31;State of São Paulo;Trough
2020-06-01;State of São Paulo;Trough
2020-06-02;State of São Paulo;Trough
2020-06-03;State of São Paulo;Trough
2020-06-04;State of São Paulo;Trough
2020-06-05;State of São Paulo;Trough
2020-06-06;State of São Paulo;Trough
2020-06-07;State of São Paulo;Trough
2020-06-08;State of São Paulo;Trough
2020-06-09;State of São Paulo;Trough
2020-06-10;State of São Paulo;Trough
2020-06-11;State of São Paulo;Trough
2020-06-12;State of São Paulo;Trough
2020-06-13;State of São Paulo;Trough
2020-06-14;State of São Paulo;Trough
2020-06-15;State of São Paulo;Trough
2020-06-16;State of São Paulo;Trough
2020-06-17;State of São Paulo;Trough
2020-06-18;State of São Paulo;Trough
2020-06-19;State of São Paulo;Trough
2020-06-20;State of São Paulo;Trough
2020-06-21;State of São Paulo;Trough
2020-06-22;State of São Paulo;Trough
2020-06-23;State of São Paulo;Trough
2020-06-24;State of São Paulo;Trough
2020-06-25;State of São Paulo;Trough
2020-06-26;State of São Paulo;Trough
2020-06-27;State of São Paulo;Trough
2020-06-28;State of São Paulo;Trough
2020-06-29;State of São Paulo;Trough
2020-06-30;State of São Paulo;Trough
2020-07-01;State of São Paulo;Trough
2020-07-02;State of São Paulo;Trough
2020-07-03;State of São Paulo;Trough
2020-07-04;State of São Paulo;Trough
2020-07-05;State of São Paulo;Trough
2020-07-06;State of São Paulo;Trough
2020-07-07;State of São Paulo;Trough
2020-07-08;State of São Paulo;Trough
2020-07-09;State of São Paulo;Trough
2020-07-10;State of São Paulo;Trough
2020-07-11;State of São Paulo;Trough
2020-07-12;State of São Paulo;Trough
2020-07-13;State of São Paulo;Trough
2020-07-14;State of São Paulo;Trough
2020-07-15;State of São Paulo;Trough
2020-07-16;State of São Paulo;Trough
2020-07-17;State of São Paulo;Trough
2020-07-18;State of São Paulo;Trough
2020-07-19;State of São Paulo;Trough
2020-07-20;State of São Paulo;Trough
2020-07-21;State of São Paulo;Trough
2020-07-22;State of São Paulo;Trough
2020-07-23;State of São Paulo;Trough
2020-07-24;State of São Paulo;Trough
2020-07-25;State of São Paulo;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Paraná;Preparation
2020-02-26;State of Paraná;Preparation
2020-02-27;State of Paraná;Preparation
2020-02-28;State of Paraná;Preparation
2020-02-29;State of Paraná;Preparation
2020-03-01;State of Paraná;Preparation
2020-03-02;State of Paraná;Preparation
2020-03-03;State of Paraná;Preparation
2020-03-04;State of Paraná;Preparation
2020-03-05;State of Paraná;Preparation
2020-03-06;State of Paraná;Preparation
2020-03-07;State of Paraná;Preparation
2020-03-08;State of Paraná;Preparation
2020-03-09;State of Paraná;Preparation
2020-03-10;State of Paraná;Preparation
2020-03-11;State of Paraná;Preparation
2020-03-12;State of Paraná;Preparation
2020-03-13;State of Paraná;Preparation
2020-03-14;State of Paraná;Preparation
2020-03-15;State of Paraná;Preparation
2020-03-16;State of Paraná;Preparation
2020-03-17;State of Paraná;Preparation
2020-03-18;State of Paraná;Preparation
2020-03-19;State of Paraná;Preparation
2020-03-20;State of Paraná;Response
2020-03-21;State of Paraná;Response
2020-03-22;State of Paraná;Response
2020-03-23;State of Paraná;Response
2020-03-24;State of Paraná;Response
2020-03-25;State of Paraná;Response
2020-03-26;State of Paraná;Response
2020-03-27;State of Paraná;Response
2020-03-28;State of Paraná;Trough
2020-03-29;State of Paraná;Trough
2020-03-30;State of Paraná;Trough
2020-03-31;State of Paraná;Trough
2020-04-01;State of Paraná;Trough
2020-04-02;State of Paraná;Trough
2020-04-03;State of Paraná;Trough
2020-04-04;State of Paraná;Trough
2020-04-05;State of Paraná;Trough
2020-04-06;State of Paraná;Trough
2020-04-07;State of Paraná;Trough
2020-04-08;State of Paraná;Trough
2020-04-09;State of Paraná;Trough
2020-04-10;State of Paraná;Trough
2020-04-11;State of Paraná;Trough
2020-04-12;State of Paraná;Trough
2020-04-13;State of Paraná;Trough
2020-04-14;State of Paraná;Trough
2020-04-15;State of Paraná;Trough
2020-04-16;State of Paraná;Trough
2020-04-17;State of Paraná;Trough
2020-04-18;State of Paraná;Trough
2020-04-19;State of Paraná;Trough
2020-04-20;State of Paraná;Trough
2020-04-21;State of Paraná;Trough
2020-04-22;State of Paraná;Trough
2020-04-23;State of Paraná;Trough
2020-04-24;State of Paraná;Trough
2020-04-25;State of Paraná;Trough
2020-04-26;State of Paraná;Trough
2020-04-27;State of Paraná;Trough
2020-04-28;State of Paraná;Trough
2020-04-29;State of Paraná;Trough
2020-04-30;State of Paraná;Trough
2020-05-01;State of Paraná;Trough
2020-05-02;State of Paraná;Trough
2020-05-03;State of Paraná;Trough
2020-05-04;State of Paraná;Trough
2020-05-05;State of Paraná;Trough
2020-05-06;State of Paraná;Trough
2020-05-07;State of Paraná;Trough
2020-05-08;State of Paraná;Trough
2020-05-09;State of Paraná;Trough
2020-05-10;State of Paraná;Trough
2020-05-11;State of Paraná;Trough
2020-05-12;State of Paraná;Trough
2020-05-13;State of Paraná;Trough
2020-05-14;State of Paraná;Trough
2020-05-15;State of Paraná;Trough
2020-05-16;State of Paraná;Trough
2020-05-17;State of Paraná;Trough
2020-05-18;State of Paraná;Trough
2020-05-19;State of Paraná;Trough
2020-05-20;State of Paraná;Trough
2020-05-21;State of Paraná;Trough
2020-05-22;State of Paraná;Trough
2020-05-23;State of Paraná;Trough
2020-05-24;State of Paraná;Trough
2020-05-25;State of Paraná;Trough
2020-05-26;State of Paraná;Trough
2020-05-27;State of Paraná;Trough
2020-05-28;State of Paraná;Trough
2020-05-29;State of Paraná;Trough
2020-05-30;State of Paraná;Trough
2020-05-31;State of Paraná;Trough
2020-06-01;State of Paraná;Trough
2020-06-02;State of Paraná;Trough
2020-06-03;State of Paraná;Trough
2020-06-04;State of Paraná;Trough
2020-06-05;State of Paraná;Trough
2020-06-06;State of Paraná;Trough
2020-06-07;State of Paraná;Trough
2020-06-08;State of Paraná;Trough
2020-06-09;State of Paraná;Trough
2020-06-10;State of Paraná;Trough
2020-06-11;State of Paraná;Trough
2020-06-12;State of Paraná;Trough
2020-06-13;State of Paraná;Trough
2020-06-14;State of Paraná;Trough
2020-06-15;State of Paraná;Trough
2020-06-16;State of Paraná;Trough
2020-06-17;State of Paraná;Trough
2020-06-18;State of Paraná;Trough
2020-06-19;State of Paraná;Trough
2020-06-20;State of Paraná;Trough
2020-06-21;State of Paraná;Trough
2020-06-22;State of Paraná;Trough
2020-06-23;State of Paraná;Trough
2020-06-24;State of Paraná;Trough
2020-06-25;State of Paraná;Trough
2020-06-26;State of Paraná;Trough
2020-06-27;State of Paraná;Trough
2020-06-28;State of Paraná;Trough
2020-06-29;State of Paraná;Trough
2020-06-30;State of Paraná;Trough
2020-07-01;State of Paraná;Trough
2020-07-02;State of Paraná;Trough
2020-07-03;State of Paraná;Trough
2020-07-04;State of Paraná;Trough
2020-07-05;State of Paraná;Trough
2020-07-06;State of Paraná;Trough
2020-07-07;State of Paraná;Trough
2020-07-08;State of Paraná;Trough
2020-07-09;State of Paraná;Trough
2020-07-10;State of Paraná;Trough
2020-07-11;State of Paraná;Trough
2020-07-12;State of Paraná;Trough
2020-07-13;State of Paraná;Trough
2020-07-14;State of Paraná;Trough
2020-07-15;State of Paraná;Trough
2020-07-16;State of Paraná;Trough
2020-07-17;State of Paraná;Trough
2020-07-18;State of Paraná;Trough
2020-07-19;State of Paraná;Trough
2020-07-20;State of Paraná;Trough
2020-07-21;State of Paraná;Trough
2020-07-22;State of Paraná;Trough
2020-07-23;State of Paraná;Trough
2020-07-24;State of Paraná;Trough
2020-07-25;State of Paraná;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Santa Catarina;Preparation
2020-02-26;State of Santa Catarina;Preparation
2020-02-27;State of Santa Catarina;Preparation
2020-02-28;State of Santa Catarina;Preparation
2020-02-29;State of Santa Catarina;Preparation
2020-03-01;State of Santa Catarina;Preparation
2020-03-02;State of Santa Catarina;Preparation
2020-03-03;State of Santa Catarina;Preparation
2020-03-04;State of Santa Catarina;Preparation
2020-03-05;State of Santa Catarina;Preparation
2020-03-06;State of Santa Catarina;Preparation
2020-03-07;State of Santa Catarina;Preparation
2020-03-08;State of Santa Catarina;Preparation
2020-03-09;State of Santa Catarina;Preparation
2020-03-10;State of Santa Catarina;Preparation
2020-03-11;State of Santa Catarina;Preparation
2020-03-12;State of Santa Catarina;Preparation
2020-03-13;State of Santa Catarina;Preparation
2020-03-14;State of Santa Catarina;Preparation
2020-03-15;State of Santa Catarina;Preparation
2020-03-16;State of Santa Catarina;Preparation
2020-03-17;State of Santa Catarina;Preparation
2020-03-18;State of Santa Catarina;Preparation
2020-03-19;State of Santa Catarina;Response
2020-03-20;State of Santa Catarina;Response
2020-03-21;State of Santa Catarina;Response
2020-03-22;State of Santa Catarina;Response
2020-03-23;State of Santa Catarina;Response
2020-03-24;State of Santa Catarina;Response
2020-03-25;State of Santa Catarina;Response
2020-03-26;State of Santa Catarina;Response
2020-03-27;State of Santa Catarina;Response
2020-03-28;State of Santa Catarina;Trough
2020-03-29;State of Santa Catarina;Trough
2020-03-30;State of Santa Catarina;Trough
2020-03-31;State of Santa Catarina;Trough
2020-04-01;State of Santa Catarina;Trough
2020-04-02;State of Santa Catarina;Trough
2020-04-03;State of Santa Catarina;Trough
2020-04-04;State of Santa Catarina;Trough
2020-04-05;State of Santa Catarina;Trough
2020-04-06;State of Santa Catarina;Trough
2020-04-07;State of Santa Catarina;Trough
2020-04-08;State of Santa Catarina;Trough
2020-04-09;State of Santa Catarina;Trough
2020-04-10;State of Santa Catarina;Trough
2020-04-11;State of Santa Catarina;Trough
2020-04-12;State of Santa Catarina;Trough
2020-04-13;State of Santa Catarina;Trough
2020-04-14;State of Santa Catarina;Trough
2020-04-15;State of Santa Catarina;Trough
2020-04-16;State of Santa Catarina;Trough
2020-04-17;State of Santa Catarina;Trough
2020-04-18;State of Santa Catarina;Trough
2020-04-19;State of Santa Catarina;Trough
2020-04-20;State of Santa Catarina;Trough
2020-04-21;State of Santa Catarina;Trough
2020-04-22;State of Santa Catarina;Trough
2020-04-23;State of Santa Catarina;Trough
2020-04-24;State of Santa Catarina;Trough
2020-04-25;State of Santa Catarina;Trough
2020-04-26;State of Santa Catarina;Trough
2020-04-27;State of Santa Catarina;Trough
2020-04-28;State of Santa Catarina;Trough
2020-04-29;State of Santa Catarina;Trough
2020-04-30;State of Santa Catarina;Trough
2020-05-01;State of Santa Catarina;Trough
2020-05-02;State of Santa Catarina;Trough
2020-05-03;State of Santa Catarina;Trough
2020-05-04;State of Santa Catarina;Trough
2020-05-05;State of Santa Catarina;Trough
2020-05-06;State of Santa Catarina;Trough
2020-05-07;State of Santa Catarina;Trough
2020-05-08;State of Santa Catarina;Trough
2020-05-09;State of Santa Catarina;Trough
2020-05-10;State of Santa Catarina;Trough
2020-05-11;State of Santa Catarina;Trough
2020-05-12;State of Santa Catarina;Trough
2020-05-13;State of Santa Catarina;Trough
2020-05-14;State of Santa Catarina;Trough
2020-05-15;State of Santa Catarina;Trough
2020-05-16;State of Santa Catarina;Trough
2020-05-17;State of Santa Catarina;Trough
2020-05-18;State of Santa Catarina;Trough
2020-05-19;State of Santa Catarina;Trough
2020-05-20;State of Santa Catarina;Trough
2020-05-21;State of Santa Catarina;Trough
2020-05-22;State of Santa Catarina;Trough
2020-05-23;State of Santa Catarina;Trough
2020-05-24;State of Santa Catarina;Trough
2020-05-25;State of Santa Catarina;Trough
2020-05-26;State of Santa Catarina;Trough
2020-05-27;State of Santa Catarina;Trough
2020-05-28;State of Santa Catarina;Trough
2020-05-29;State of Santa Catarina;Trough
2020-05-30;State of Santa Catarina;Trough
2020-05-31;State of Santa Catarina;Trough
2020-06-01;State of Santa Catarina;Trough
2020-06-02;State of Santa Catarina;Trough
2020-06-03;State of Santa Catarina;Trough
2020-06-04;State of Santa Catarina;Trough
2020-06-05;State of Santa Catarina;Trough
2020-06-06;State of Santa Catarina;Trough
2020-06-07;State of Santa Catarina;Trough
2020-06-08;State of Santa Catarina;Trough
2020-06-09;State of Santa Catarina;Trough
2020-06-10;State of Santa Catarina;Trough
2020-06-11;State of Santa Catarina;Trough
2020-06-12;State of Santa Catarina;Trough
2020-06-13;State of Santa Catarina;Trough
2020-06-14;State of Santa Catarina;Trough
2020-06-15;State of Santa Catarina;Trough
2020-06-16;State of Santa Catarina;Trough
2020-06-17;State of Santa Catarina;Trough
2020-06-18;State of Santa Catarina;Trough
2020-06-19;State of Santa Catarina;Trough
2020-06-20;State of Santa Catarina;Trough
2020-06-21;State of Santa Catarina;Trough
2020-06-22;State of Santa Catarina;Trough
2020-06-23;State of Santa Catarina;Trough
2020-06-24;State of Santa Catarina;Trough
2020-06-25;State of Santa Catarina;Trough
2020-06-26;State of Santa Catarina;Trough
2020-06-27;State of Santa Catarina;Trough
2020-06-28;State of Santa Catarina;Trough
2020-06-29;State of Santa Catarina;Trough
2020-06-30;State of Santa Catarina;Trough
2020-07-01;State of Santa Catarina;Trough
2020-07-02;State of Santa Catarina;Trough
2020-07-03;State of Santa Catarina;Trough
2020-07-04;State of Santa Catarina;Trough
2020-07-05;State of Santa Catarina;Trough
2020-07-06;State of Santa Catarina;Trough
2020-07-07;State of Santa Catarina;Trough
2020-07-08;State of Santa Catarina;Trough
2020-07-09;State of Santa Catarina;Trough
2020-07-10;State of Santa Catarina;Trough
2020-07-11;State of Santa Catarina;Trough
2020-07-12;State of Santa Catarina;Trough
2020-07-13;State of Santa Catarina;Trough
2020-07-14;State of Santa Catarina;Trough
2020-07-15;State of Santa Catarina;Trough
2020-07-16;State of Santa Catarina;Trough
2020-07-17;State of Santa Catarina;Trough
2020-07-18;State of Santa Catarina;Trough
2020-07-19;State of Santa Catarina;Trough
2020-07-20;State of Santa Catarina;Trough
2020-07-21;State of Santa Catarina;Trough
2020-07-22;State of Santa Catarina;Trough
2020-07-23;State of Santa Catarina;Trough
2020-07-24;State of Santa Catarina;Trough
2020-07-25;State of Santa Catarina;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Rio Grande do Sul;Preparation
2020-02-26;State of Rio Grande do Sul;Preparation
2020-02-27;State of Rio Grande do Sul;Preparation
2020-02-28;State of Rio Grande do Sul;Preparation
2020-02-29;State of Rio Grande do Sul;Preparation
2020-03-01;State of Rio Grande do Sul;Preparation
2020-03-02;State of Rio Grande do Sul;Preparation
2020-03-03;State of Rio Grande do Sul;Preparation
2020-03-04;State of Rio Grande do Sul;Preparation
2020-03-05;State of Rio Grande do Sul;Preparation
2020-03-06;State of Rio Grande do Sul;Preparation
2020-03-07;State of Rio Grande do Sul;Preparation
2020-03-08;State of Rio Grande do Sul;Preparation
2020-03-09;State of Rio Grande do Sul;Preparation
2020-03-10;State of Rio Grande do Sul;Preparation
2020-03-11;State of Rio Grande do Sul;Preparation
2020-03-12;State of Rio Grande do Sul;Preparation
2020-03-13;State of Rio Grande do Sul;Preparation
2020-03-14;State of Rio Grande do Sul;Preparation
2020-03-15;State of Rio Grande do Sul;Preparation
2020-03-16;State of Rio Grande do Sul;Preparation
2020-03-17;State of Rio Grande do Sul;Preparation
2020-03-18;State of Rio Grande do Sul;Preparation
2020-03-19;State of Rio Grande do Sul;Preparation
2020-03-20;State of Rio Grande do Sul;Response
2020-03-21;State of Rio Grande do Sul;Response
2020-03-22;State of Rio Grande do Sul;Response
2020-03-23;State of Rio Grande do Sul;Response
2020-03-24;State of Rio Grande do Sul;Response
2020-03-25;State of Rio Grande do Sul;Response
2020-03-26;State of Rio Grande do Sul;Response
2020-03-27;State of Rio Grande do Sul;Response
2020-03-28;State of Rio Grande do Sul;Trough
2020-03-29;State of Rio Grande do Sul;Trough
2020-03-30;State of Rio Grande do Sul;Trough
2020-03-31;State of Rio Grande do Sul;Trough
2020-04-01;State of Rio Grande do Sul;Trough
2020-04-02;State of Rio Grande do Sul;Trough
2020-04-03;State of Rio Grande do Sul;Trough
2020-04-04;State of Rio Grande do Sul;Trough
2020-04-05;State of Rio Grande do Sul;Trough
2020-04-06;State of Rio Grande do Sul;Trough
2020-04-07;State of Rio Grande do Sul;Trough
2020-04-08;State of Rio Grande do Sul;Trough
2020-04-09;State of Rio Grande do Sul;Trough
2020-04-10;State of Rio Grande do Sul;Trough
2020-04-11;State of Rio Grande do Sul;Trough
2020-04-12;State of Rio Grande do Sul;Trough
2020-04-13;State of Rio Grande do Sul;Trough
2020-04-14;State of Rio Grande do Sul;Trough
2020-04-15;State of Rio Grande do Sul;Trough
2020-04-16;State of Rio Grande do Sul;Trough
2020-04-17;State of Rio Grande do Sul;Trough
2020-04-18;State of Rio Grande do Sul;Trough
2020-04-19;State of Rio Grande do Sul;Trough
2020-04-20;State of Rio Grande do Sul;Trough
2020-04-21;State of Rio Grande do Sul;Trough
2020-04-22;State of Rio Grande do Sul;Trough
2020-04-23;State of Rio Grande do Sul;Trough
2020-04-24;State of Rio Grande do Sul;Trough
2020-04-25;State of Rio Grande do Sul;Trough
2020-04-26;State of Rio Grande do Sul;Trough
2020-04-27;State of Rio Grande do Sul;Trough
2020-04-28;State of Rio Grande do Sul;Trough
2020-04-29;State of Rio Grande do Sul;Trough
2020-04-30;State of Rio Grande do Sul;Trough
2020-05-01;State of Rio Grande do Sul;Trough
2020-05-02;State of Rio Grande do Sul;Trough
2020-05-03;State of Rio Grande do Sul;Trough
2020-05-04;State of Rio Grande do Sul;Trough
2020-05-05;State of Rio Grande do Sul;Trough
2020-05-06;State of Rio Grande do Sul;Trough
2020-05-07;State of Rio Grande do Sul;Trough
2020-05-08;State of Rio Grande do Sul;Trough
2020-05-09;State of Rio Grande do Sul;Trough
2020-05-10;State of Rio Grande do Sul;Trough
2020-05-11;State of Rio Grande do Sul;Trough
2020-05-12;State of Rio Grande do Sul;Trough
2020-05-13;State of Rio Grande do Sul;Trough
2020-05-14;State of Rio Grande do Sul;Trough
2020-05-15;State of Rio Grande do Sul;Trough
2020-05-16;State of Rio Grande do Sul;Trough
2020-05-17;State of Rio Grande do Sul;Trough
2020-05-18;State of Rio Grande do Sul;Trough
2020-05-19;State of Rio Grande do Sul;Trough
2020-05-20;State of Rio Grande do Sul;Trough
2020-05-21;State of Rio Grande do Sul;Trough
2020-05-22;State of Rio Grande do Sul;Trough
2020-05-23;State of Rio Grande do Sul;Trough
2020-05-24;State of Rio Grande do Sul;Trough
2020-05-25;State of Rio Grande do Sul;Trough
2020-05-26;State of Rio Grande do Sul;Trough
2020-05-27;State of Rio Grande do Sul;Trough
2020-05-28;State of Rio Grande do Sul;Trough
2020-05-29;State of Rio Grande do Sul;Trough
2020-05-30;State of Rio Grande do Sul;Trough
2020-05-31;State of Rio Grande do Sul;Trough
2020-06-01;State of Rio Grande do Sul;Trough
2020-06-02;State of Rio Grande do Sul;Trough
2020-06-03;State of Rio Grande do Sul;Trough
2020-06-04;State of Rio Grande do Sul;Trough
2020-06-05;State of Rio Grande do Sul;Trough
2020-06-06;State of Rio Grande do Sul;Trough
2020-06-07;State of Rio Grande do Sul;Trough
2020-06-08;State of Rio Grande do Sul;Trough
2020-06-09;State of Rio Grande do Sul;Trough
2020-06-10;State of Rio Grande do Sul;Trough
2020-06-11;State of Rio Grande do Sul;Trough
2020-06-12;State of Rio Grande do Sul;Trough
2020-06-13;State of Rio Grande do Sul;Trough
2020-06-14;State of Rio Grande do Sul;Trough
2020-06-15;State of Rio Grande do Sul;Trough
2020-06-16;State of Rio Grande do Sul;Trough
2020-06-17;State of Rio Grande do Sul;Trough
2020-06-18;State of Rio Grande do Sul;Trough
2020-06-19;State of Rio Grande do Sul;Trough
2020-06-20;State of Rio Grande do Sul;Trough
2020-06-21;State of Rio Grande do Sul;Trough
2020-06-22;State of Rio Grande do Sul;Trough
2020-06-23;State of Rio Grande do Sul;Trough
2020-06-24;State of Rio Grande do Sul;Trough
2020-06-25;State of Rio Grande do Sul;Trough
2020-06-26;State of Rio Grande do Sul;Trough
2020-06-27;State of Rio Grande do Sul;Trough
2020-06-28;State of Rio Grande do Sul;Trough
2020-06-29;State of Rio Grande do Sul;Trough
2020-06-30;State of Rio Grande do Sul;Trough
2020-07-01;State of Rio Grande do Sul;Trough
2020-07-02;State of Rio Grande do Sul;Trough
2020-07-03;State of Rio Grande do Sul;Trough
2020-07-04;State of Rio Grande do Sul;Trough
2020-07-05;State of Rio Grande do Sul;Trough
2020-07-06;State of Rio Grande do Sul;Trough
2020-07-07;State of Rio Grande do Sul;Trough
2020-07-08;State of Rio Grande do Sul;Trough
2020-07-09;State of Rio Grande do Sul;Trough
2020-07-10;State of Rio Grande do Sul;Trough
2020-07-11;State of Rio Grande do Sul;Trough
2020-07-12;State of Rio Grande do Sul;Trough
2020-07-13;State of Rio Grande do Sul;Trough
2020-07-14;State of Rio Grande do Sul;Trough
2020-07-15;State of Rio Grande do Sul;Trough
2020-07-16;State of Rio Grande do Sul;Trough
2020-07-17;State of Rio Grande do Sul;Trough
2020-07-18;State of Rio Grande do Sul;Trough
2020-07-19;State of Rio Grande do Sul;Trough
2020-07-20;State of Rio Grande do Sul;Trough
2020-07-21;State of Rio Grande do Sul;Trough
2020-07-22;State of Rio Grande do Sul;Trough
2020-07-23;State of Rio Grande do Sul;Trough
2020-07-24;State of Rio Grande do Sul;Trough
2020-07-25;State of Rio Grande do Sul;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Mato Grosso do Sul;Preparation
2020-02-26;State of Mato Grosso do Sul;Preparation
2020-02-27;State of Mato Grosso do Sul;Preparation
2020-02-28;State of Mato Grosso do Sul;Preparation
2020-02-29;State of Mato Grosso do Sul;Preparation
2020-03-01;State of Mato Grosso do Sul;Preparation
2020-03-02;State of Mato Grosso do Sul;Preparation
2020-03-03;State of Mato Grosso do Sul;Preparation
2020-03-04;State of Mato Grosso do Sul;Preparation
2020-03-05;State of Mato Grosso do Sul;Preparation
2020-03-06;State of Mato Grosso do Sul;Preparation
2020-03-07;State of Mato Grosso do Sul;Preparation
2020-03-08;State of Mato Grosso do Sul;Preparation
2020-03-09;State of Mato Grosso do Sul;Preparation
2020-03-10;State of Mato Grosso do Sul;Preparation
2020-03-11;State of Mato Grosso do Sul;Preparation
2020-03-12;State of Mato Grosso do Sul;Preparation
2020-03-13;State of Mato Grosso do Sul;Preparation
2020-03-14;State of Mato Grosso do Sul;Preparation
2020-03-15;State of Mato Grosso do Sul;Preparation
2020-03-16;State of Mato Grosso do Sul;Preparation
2020-03-17;State of Mato Grosso do Sul;Preparation
2020-03-18;State of Mato Grosso do Sul;Preparation
2020-03-19;State of Mato Grosso do Sul;Preparation
2020-03-20;State of Mato Grosso do Sul;Preparation
2020-03-21;State of Mato Grosso do Sul;Response
2020-03-22;State of Mato Grosso do Sul;Response
2020-03-23;State of Mato Grosso do Sul;Response
2020-03-24;State of Mato Grosso do Sul;Response
2020-03-25;State of Mato Grosso do Sul;Response
2020-03-26;State of Mato Grosso do Sul;Response
2020-03-27;State of Mato Grosso do Sul;Response
2020-03-28;State of Mato Grosso do Sul;Trough
2020-03-29;State of Mato Grosso do Sul;Trough
2020-03-30;State of Mato Grosso do Sul;Trough
2020-03-31;State of Mato Grosso do Sul;Trough
